,day,data_temperature_mean,data_temperature_std,data_humidity_mean,data_humidity_std,data_pm2_5_mean,data_pm2_5_std,data_pm2_5_min,data_pm2_5_max,data_voc_mean,data_voc_std,data_voc_min,data_voc_max,data_co2_mean,data_co2_std,data_co2_min,Target
3277,0,31.125,0.044158804,68.17833333,0.310317042,38.83333333,1.471960152,37,41,0.8315,0.115254067,0.715,1.012,602.5,15.8965405,572,Curry
3278,0,31.12,0.039496835,68.22666667,0.341037632,39,1.788854388,37,42,0.770166667,0.096356456,0.644,0.927,597.1666667,21.03726852,569,Curry
3279,0,31.11333333,0.029439203,68.24333333,0.35455136,39.33333333,1.751190078,37,42,0.719166667,0.075459702,0.621,0.82,588,22.09977375,563,Curry
3280,0,31.115,0.031464265,68.11166667,0.5153025,69.66666667,74.15838905,37,221,0.806666667,0.269827105,0.621,1.345,486.6666667,239.2385142,0,Curry
3281,0,31.13,0.032863353,68.12333333,0.503970899,208.6666667,332.4573156,38,871,0.911166667,0.353012417,0.621,1.379,476.3333333,234.2363479,0,Curry
3282,0,31.14333333,0.029439203,68.01833333,0.458363029,269,328.1097377,40,871,0.990833333,0.366563728,0.621,1.379,464.1666667,227.8380273,0,Curry
3283,0,31.16333333,0.026583203,68.145,0.564827407,309.1666667,308.6431057,40,871,1.3555,0.831174049,0.621,2.903,490.6666667,250.9618829,0,Curry
3284,0,31.17666667,0.03204164,68.12833333,0.552898423,349,281.495293,40,871,1.809833333,1.074031362,0.621,3.37,517.6666667,269.1316902,0,Curry
3285,0,31.19,0.030331502,68.11166667,0.540089499,371.5,256.1075946,175,871,2.268,1.051571396,1.241,3.37,539.5,278.6888946,0,Curry
3286,0,31.21,0.037416574,68.34166667,0.4279447,398.3333333,245.3957348,175,871,2.617333333,1.031582215,1.241,3.441,668.3333333,102.1874095,535,Curry
3287,0,31.23833333,0.059132619,68.47166667,0.311153767,342.1666667,124.2246621,175,534,2.9655,0.869902696,1.241,3.468,702.1666667,85.8892698,535,Curry
3288,0,31.27666667,0.077631609,68.89166667,0.780523329,451.8333333,320.6464824,175,1058,3.321166667,0.209021929,2.903,3.468,750,43.75385697,694,Curry
3289,0,31.31333333,0.090700974,69.09833333,0.911008599,589.1666667,399.5874956,175,1105,3.352666667,0.134276828,3.092,3.468,771.6666667,61.18060695,694,Curry
3290,0,31.35333333,0.094162979,69.32166667,0.874995238,664.3333333,371.4526439,175,1105,3.269166667,0.237466138,2.869,3.468,789.6666667,62.69183892,694,Curry
3291,0,31.40166667,0.086120071,69.74166667,0.956627758,734.5,291.7421807,382,1105,3.2415,0.232996781,2.869,3.468,824.8333333,57.23780802,749,Curry
3292,0,31.44666667,0.073120904,70.08,0.878840145,744.8333333,277.5106605,444,1105,3.289333333,0.30152656,2.869,3.728,847.5,59.49033535,749,Curry
3293,0,31.48,0.058991525,70.35166667,0.445035579,711.3333333,317.3273809,333,1105,3.303166667,0.313046589,2.869,3.728,870.6666667,35.81433605,822,Curry
3294,0,31.50333333,0.047609523,70.30166667,0.448616391,590.5,296.2558016,333,1105,3.3325,0.328964892,2.869,3.728,881.6666667,26.90477033,839,Curry
3295,0,31.52166667,0.03250641,70.38333333,0.440348347,451,179.6507723,268,732,3.354666667,0.313642259,2.869,3.728,878.1666667,31.16033804,839,Curry
3296,0,31.53,0.015491933,70.25333333,0.699847602,358.5,145.7048386,177,596,3.289,0.448090616,2.475,3.728,854.3333333,81.36010488,696,Curry
3297,0,31.51833333,0.040207794,69.68166667,1.228208723,288.6666667,103.3685961,177,444,2.998,0.876490274,1.458,3.728,819.5,98.3051372,696,Curry
3298,0,31.49,0.070427267,69.04333333,1.522046867,229.5,98.14224371,89,333,2.560333333,1.072732896,1.102,3.551,757.6666667,139.0045563,538,Curry
3299,0,31.43666667,0.125006666,68.78833333,1.424604039,184.6666667,102.7398008,64,333,2.088166667,1.168666149,0.718,3.551,697.6666667,148.8430941,528,Curry
3309,0,31.29666667,0.089144078,67.87666667,1.218403327,40,3.098386681,35,44,1.535166667,0.558428659,0.758,2.26,614.5,72.87454974,510,Curry
3310,0,31.31666667,0.104817301,67.28333333,1.068993296,38.5,2.949576245,35,41,1.388333333,0.636091084,0.758,2.26,595.5,77.42544801,510,Curry
3311,0,31.335,0.112738636,66.85333333,1.258883103,37.5,2.949576245,35,41,1.109333333,0.536646873,0.586,1.782,572.1666667,70.15245303,510,Curry
3312,0,31.35166667,0.112145739,66.375,1.128658496,36.5,2.509980084,35,41,0.9065,0.455394225,0.565,1.782,547.8333333,56.81343738,510,Curry
3338,0,31.62166667,0.134672442,65.38,0.774958063,95.16666667,140.04773,35,381,2.168333333,0.362577256,1.607,2.653,573.6666667,284.3523636,0,Fry
3339,0,31.67666667,0.146787829,65.425,0.752509136,152.6666667,176.8781125,35,381,2.0625,0.499805062,1.332,2.653,456.5,356.1683591,0,Fry
3340,0,31.73166667,0.151580562,65.35,0.805928036,241.6666667,231.6857067,38,569,1.926,0.492459135,1.332,2.653,444.6666667,347.6985284,0,Fry
3341,0,31.77833333,0.129679091,65.15,1.039961538,326,234.7952299,40,569,1.782666667,0.525028253,1.328,2.653,432.1666667,340.6343592,0,Fry
3342,0,31.82166667,0.086351993,65.12833333,1.026477796,451.6666667,252.2377186,41,794,1.667833333,0.498298471,1.328,2.653,418.1666667,331.6464483,0,Fry
3343,0,31.85333333,0.020655911,64.93166667,0.708107807,647.5,317.355794,381,1216,1.472333333,0.124026879,1.328,1.607,388.3333333,301.6578636,0,Fry
3351,0,31.985,0.059581876,64.175,1.0863655,784.6666667,979.7637811,110,2696,3.432833333,0.811886055,2.531,4.733,752.8333333,115.3506249,613,Reheat
3352,0,31.97666667,0.055377492,64.04333333,0.827880829,348.8333333,316.838392,81,948,3.03,0.613030179,2.316,3.928,707.3333333,103.1477904,613,Reheat
3353,0,31.96,0.024494897,64.255,0.968127058,204.3333333,133.7051482,81,390,2.761333333,0.479443705,2.316,3.516,661.8333333,54.81392767,613,Reheat
3354,0,31.96,0.024494897,64.565,0.866758328,152.5,104.4045018,79,324,2.624,0.473448202,2.298,3.516,641.6666667,43.07048487,613,Reheat
3355,0,31.18833333,0.013291601,70.16,0.131757353,61.83333333,1.834847865,59,63,0.360333333,0.009831921,0.346,0.373,435.6666667,4.844240567,427,No Activity
3356,0,31.185,0.012247449,70.20833333,0.113210718,62,2.000000006,59,64,0.361333333,0.008262364,0.352,0.373,438.6666667,3.881580435,433,No Activity
3357,0,31.185,0.012247449,70.24,0.054772256,61.83333333,1.940790223,59,64,0.358166667,0.009239408,0.348,0.373,440.8333333,3.710345896,437,No Activity
3358,0,31.18166667,0.009831921,70.28833333,0.105908766,62.16666667,2.316606719,59,65,0.355666667,0.00904802,0.348,0.373,442.8333333,4.400757511,439,No Activity
3359,0,31.18166667,0.009831921,70.32,0.131757353,61.83333333,2.316606719,59,65,0.355666667,0.00904802,0.348,0.373,446.1666667,7.440878085,439,No Activity
3360,0,31.18666667,0.015055453,70.30333333,0.155649178,62.83333333,2.136976062,60,65,0.4065,0.133043978,0.348,0.678,453.3333333,15.50053763,439,No Activity
3361,0,31.19333333,0.015055453,70.32,0.159248234,63.83333333,1.940790223,61,66,0.545333333,0.340376067,0.348,1.187,467.8333333,31.66964898,445,No Activity
3362,0,31.205,0.025884358,70.36833333,0.189464157,64.33333333,2.338090394,61,67,0.876833333,0.78828508,0.348,2.341,497.5,68.24880951,446,No Activity
3363,0,31.22166667,0.036560452,70.40166667,0.168216131,65.16666667,2.228601958,61,67,1.229666667,0.959440184,0.35,2.465,527,78.95061748,449,No Activity
3364,0,31.24333333,0.044572039,70.38666667,0.163788481,65.5,2.345207885,61,67,1.596833333,0.976847668,0.357,2.553,556,76.48790754,459,No Activity
3365,0,31.265,0.050497525,70.355,0.160468065,66.5,0.83666004,65,67,1.961333333,0.816570062,0.678,2.553,584,63.5295207,482,No Activity
3366,0,31.29166667,0.057416606,70.35,0.17052859,66.16666667,1.602081986,63,67,2.313666667,0.571342863,1.187,2.792,607.5,39.95872871,526,No Activity
3367,0,31.32333333,0.05573748,70.32666667,0.173512728,65.33333333,2.658320276,61,67,2.613166667,0.23406445,2.341,2.984,622.3333333,3.932768321,615,No Activity
3368,0,31.35833333,0.065548964,70.55,0.682026392,65.33333333,2.658320276,61,67,2.933166667,0.678352539,2.465,4.261,518.5,254.0423193,0,No Activity
3369,0,31.39,0.066030296,70.65833333,0.702834736,65.16666667,2.562550817,61,67,3.2385,0.822472066,2.544,4.297,529.1666667,260.5673937,0,Boil(Pressure Cooker)
3370,0,31.41666667,0.059217115,70.635,0.715730396,65,2.449489747,61,67,3.169666667,0.904507085,2.14,4.297,525.5,259.1337492,0,Boil(Pressure Cooker)
3371,0,31.44333333,0.047187569,70.515,0.835481897,64.5,2.258317963,61,67,3.084666667,0.994544653,2.034,4.297,516.6666667,255.8645475,0,Boil(Pressure Cooker)
3372,0,31.46666667,0.037237973,70.72666667,0.857733447,65.33333333,2.503331118,61,68,2.9505,1.091495259,1.987,4.297,510.8333333,253.3419955,0,Boil(Pressure Cooker)
3373,0,31.48666667,0.024221203,70.89166667,0.842790998,66.5,1.516575096,64,68,2.8615,1.109834357,1.987,4.297,510.6666667,253.2600771,0,Boil(Pressure Cooker)
3374,0,31.49666667,0.023380904,70.435,0.913515189,65.83333333,2.041241458,63,68,2.454333333,0.9267411,1.818,4.297,604,44.92215489,560,Boil(Pressure Cooker)
3375,0,31.505,0.020736441,70.32166667,0.864301259,65,2.828427129,61,68,2.023333333,0.259539335,1.711,2.45,582.8333333,22.13067253,560,Boil(Pressure Cooker)
3376,0,31.52,0.022803508,70.585,1.057255882,64.83333333,2.786873999,61,68,2.049,0.280178515,1.711,2.45,576,21.72556098,560,Boil(Pressure Cooker)
